Rk,G,Date,away_or_home,Opp,Win/Loss,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF
1,1,2020-12-23,home,NOP,Loss,99,113,38,89,0.427,14,46,0.304,9,12,0.75,7,35,26,10,5,20,22,42,80,0.525,19,42,0.452,10,20,0.5,8,45,30,13,7,24,17
2,2,2020-12-26,away,SAS,Loss,114,119,44,96,0.458,15,41,0.366,11,15,0.733,10,46,32,8,9,11,23,47,100,0.47,14,34,0.412,11,16,0.688,14,53,36,4,3,16,20
3,3,2020-12-29,away,PHI,Loss,93,100,32,90,0.356,17,45,0.378,12,14,0.857,10,47,21,12,7,19,28,32,84,0.381,8,31,0.258,28,33,0.848,9,54,21,10,10,18,15
4,4,2020-12-31,home,NYK,Win,100,83,34,83,0.41,17,52,0.327,15,21,0.714,9,53,21,7,6,16,22,32,88,0.364,3,36,0.083,16,20,0.8,9,48,21,6,3,15,21
5,5,2021-01-02,away,NOP,Loss,116,120,38,91,0.418,14,48,0.292,26,27,0.963,10,40,21,6,4,9,29,35,83,0.422,14,38,0.368,36,47,0.766,14,50,26,6,7,12,18
6,6,2021-01-04,home,BOS,Loss,114,126,36,90,0.4,13,37,0.351,29,38,0.763,8,37,20,13,4,10,26,41,84,0.488,15,29,0.517,29,34,0.853,12,56,19,3,9,19,29
7,7,2021-01-06,away,PHO,Loss,115,123,39,79,0.494,14,35,0.4,23,32,0.719,10,42,18,6,5,12,19,40,83,0.482,21,40,0.525,22,24,0.917,8,41,30,4,3,10,23
8,8,2021-01-08,away,SAC,Win,144,123,53,91,0.582,20,39,0.513,18,22,0.818,12,44,30,8,5,12,20,46,81,0.568,15,34,0.441,16,28,0.571,3,26,36,9,8,11,18
9,9,2021-01-10,away,GSW,Loss,105,106,39,96,0.406,13,38,0.342,14,22,0.636,13,48,20,8,10,10,22,38,93,0.409,13,46,0.283,17,19,0.895,12,51,30,2,10,15,18
10,10,2021-01-11,away,POR,Loss,111,112,40,89,0.449,19,47,0.404,12,12,1,7,43,27,6,5,15,22,38,83,0.458,14,42,0.333,22,25,0.88,8,42,18,9,6,13,14
11,11,2021-01-14,home,CHO,Win,111,108,40,88,0.455,20,50,0.4,11,13,0.846,13,40,33,13,6,17,16,42,87,0.483,15,35,0.429,9,12,0.75,14,44,32,11,5,18,15
12,12,2021-01-16,home,CHO,Win,116,113,36,86,0.419,21,49,0.429,23,26,0.885,7,43,28,5,8,15,22,38,87,0.437,15,36,0.417,22,29,0.759,12,48,26,6,5,14,20
13,13,2021-01-18,home,DAL,Win,116,93,44,88,0.5,12,33,0.364,16,18,0.889,9,46,23,9,6,14,23,31,82,0.378,9,36,0.25,22,27,0.815,8,38,21,6,4,16,16
14,14,2021-01-20,home,MIA,Loss,102,111,35,88,0.398,16,49,0.327,16,18,0.889,12,41,27,8,3,12,21,39,80,0.488,18,40,0.45,15,17,0.882,8,46,29,4,5,18,19
15,15,2021-01-22,home,MIA,Win,101,81,39,84,0.464,17,40,0.425,6,9,0.667,12,45,22,11,3,21,16,33,77,0.429,7,31,0.226,8,10,0.8,4,32,19,13,4,19,14
16,16,2021-01-24,away,IND,Win,107,102,37,90,0.411,15,35,0.429,18,26,0.692,12,45,24,12,8,16,18,35,87,0.402,13,39,0.333,19,22,0.864,12,47,23,10,8,18,23
17,17,2021-01-25,away,IND,Loss,114,129,38,93,0.409,14,38,0.368,24,27,0.889,13,39,24,9,6,10,25,40,78,0.513,12,29,0.414,37,45,0.822,7,45,26,5,8,13,25
18,18,2021-01-27,home,MIL,Loss,108,115,38,94,0.404,22,55,0.4,10,12,0.833,10,46,26,8,8,11,20,40,93,0.43,16,44,0.364,19,26,0.731,14,59,30,9,3,14,14
19,19,2021-01-29,home,SAC,Loss,124,126,42,86,0.488,13,32,0.406,27,33,0.818,12,35,20,14,2,15,27,43,78,0.551,16,36,0.444,24,31,0.774,11,38,31,7,5,22,25
20,20,2021-01-31,home,ORL,Win,115,102,41,90,0.456,12,39,0.308,21,22,0.955,9,48,27,8,5,11,22,33,82,0.402,13,36,0.361,23,28,0.821,6,42,22,8,5,10,18
21,21,2021-02-02,away,ORL,Win,123,108,40,83,0.482,20,45,0.444,23,25,0.92,6,40,32,14,4,11,18,41,89,0.461,14,38,0.368,12,14,0.857,9,46,24,4,4,16,22
22,22,2021-02-05,away,BRK,Win,123,117,49,97,0.505,13,32,0.406,12,14,0.857,12,41,22,10,6,10,25,39,80,0.488,17,42,0.405,22,29,0.759,8,40,29,5,6,18,19
23,23,2021-02-06,away,ATL,Loss,121,132,41,97,0.423,13,38,0.342,26,34,0.765,14,38,24,9,5,6,27,42,74,0.568,19,36,0.528,29,33,0.879,4,43,31,1,10,18,25
24,24,2021-02-08,away,MEM,Win,128,113,42,77,0.545,20,37,0.541,24,26,0.923,7,37,28,11,2,14,24,37,87,0.425,13,39,0.333,26,29,0.897,19,42,27,7,4,15,18
25,25,2021-02-10,away,WAS,Win,137,115,49,93,0.527,19,32,0.594,20,23,0.87,9,46,28,5,5,12,17,42,93,0.452,12,41,0.293,19,23,0.826,12,46,26,7,3,14,20
26,26,2021-02-11,away,BOS,Loss,106,120,41,83,0.494,9,28,0.321,15,19,0.789,3,32,26,7,8,13,26,39,86,0.453,20,39,0.513,22,28,0.786,14,49,30,8,6,18,22
27,27,2021-02-14,home,MIN,Loss,112,116,38,91,0.418,10,33,0.303,26,31,0.839,10,38,24,6,3,11,22,43,82,0.524,16,39,0.41,14,19,0.737,5,40,28,6,8,18,26
28,28,2021-02-16,away,MIL,Win,124,113,46,91,0.505,17,43,0.395,15,21,0.714,8,44,25,8,6,15,18,40,83,0.482,14,37,0.378,19,25,0.76,5,41,25,10,5,17,17
29,29,2021-02-18,away,MIL,Win,110,96,38,78,0.487,12,35,0.343,22,23,0.957,2,37,26,6,6,9,21,35,88,0.398,10,34,0.294,16,23,0.696,15,52,23,6,2,15,23
30,30,2021-02-19,away,MIN,Win,86,81,28,85,0.329,12,40,0.3,18,22,0.818,15,51,16,8,6,15,16,32,83,0.386,9,38,0.237,8,11,0.727,6,43,24,6,9,13,23
