Rk,name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Fred VanVleet,27,65,65,37.9,6.8,16.9,0.403,3.7,9.9,0.377,3.1,7,0.44,0.513,3,3.4,0.874,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3
2,Pascal Siakam,27,68,68,37.9,8.8,17.8,0.494,1.1,3.2,0.344,7.7,14.5,0.527,0.525,4.2,5.6,0.749,1.9,6.6,8.5,5.3,1.3,0.6,2.7,3.3,22.8
3,OG Anunoby,24,47,47,36.2,6.5,14.6,0.445,2.4,6.6,0.369,4.1,8,0.508,0.528,1.9,2.5,0.75,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.3
4,Scottie Barnes,20,73,73,35.6,6.2,12.7,0.492,0.8,2.6,0.298,5.5,10.1,0.542,0.523,2.2,2.9,0.735,2.7,4.9,7.6,3.4,1.1,0.8,1.8,2.6,15.4
5,Gary Trent Jr.,23,69,68,35,6.4,15.5,0.413,3,7.8,0.384,3.4,7.7,0.443,0.511,2.5,3,0.853,0.4,2.4,2.8,2,1.8,0.3,1,2,18.3
7,Precious Achiuwa,22,72,28,23.6,3.6,8.2,0.442,0.8,2.1,0.364,2.9,6.1,0.469,0.489,1.1,1.8,0.595,2,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1
9,Chris Boucher,29,79,9,21,3.3,7.1,0.465,0.8,2.8,0.293,2.5,4.3,0.578,0.523,1.8,2.4,0.774,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.3
10,Thaddeus Young,33,25,0,18.2,2.6,5.6,0.461,0.6,1.7,0.381,2,4,0.495,0.518,0.5,1.1,0.481,1.6,2.9,4.5,1.6,1.2,0.4,0.8,1.6,6.4
12,Khem Birch,29,54,27,18,1.8,3.6,0.482,0,0.3,0,1.8,3.4,0.519,0.482,1,1.3,0.746,2.2,2.1,4.3,1,0.5,0.5,0.5,1.9,4.5
14,Svi Mykhailiuk,24,55,5,12.9,1.6,4.1,0.39,0.7,2.3,0.302,0.9,1.8,0.505,0.476,0.6,0.7,0.865,0.4,1.3,1.7,0.8,0.5,0.1,0.6,0.9,4.5
15,Malachi Flynn,23,43,5,11.8,1.6,3.9,0.402,0.7,2,0.333,0.9,2,0.471,0.485,0.3,0.6,0.625,0.2,1.2,1.4,1.5,0.4,0.1,0.3,1,4.2
16,Yuta Watanabe,27,37,4,11.7,1.5,3.6,0.41,0.7,2.1,0.355,0.8,1.6,0.483,0.511,0.6,1,0.579,0.5,1.9,2.4,0.5,0.3,0.4,0.5,1,4.3
17,Armoni Brooks,23,12,2,11.3,0.8,2.8,0.294,0.8,2.7,0.281,0.1,0.2,0.5,0.426,0.2,0.2,1,0.7,1,1.7,1.1,0.6,0.3,0.3,0.9,2.6
18,Dalano Banton,22,64,1,10.9,1.3,3.2,0.411,0.2,0.8,0.255,1.1,2.4,0.464,0.443,0.4,0.7,0.591,0.6,1.3,1.9,1.5,0.4,0.2,0.8,1.1,3.2
20,Justin Champagnie,20,36,0,7.8,0.9,1.9,0.463,0.3,0.8,0.357,0.6,1.1,0.538,0.537,0.3,0.3,1,1,1,2,0.3,0.2,0.1,0.2,0.9,2.3
